  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       1       1       1       0       0       0
     2       5       4       1       0       0       0
     3       6       1       1       0       0       0
     4       7       1       1       0       0       0
     5       8       1       1       0       0       0
     6       9       1       1       0       0       0
     7      10       1       1       0       0       0
     8      11       1       1       0       0       0
     9      12       1       1       0       0       0
    10      13       1       1       0       0       0
